Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Velocity (km/s),Comment,Additional comment
#data31,146_spw51,,,,145.583 to 145.610000,,Three small peaks and one larger peak at the very edge of the window. Signal in several cores across field.,
#data31,146_spw51,,,,145.91223 to 145.960052,,Very small fluctuations. Signal around lowest part of field.,
#data31,146_spw51,,,,146.339946 to 146.379986,,"Two bright peaks and one very small peak. Focused on lower part of the field, and stretching to right-most and upper filaments at higher frequencies. Small peak comes from small core (which is brighter in point region) at (338, 272).",
#data31,146_spw51,,CH3OHvt=0-2,9(0 9)-8(1 8) A vt=0,146.596789 (146.61869700 expected),,"Really, really bright elliptically-shaped source (2.28e-1 Jy/beam) at 323, 307). Centered at a single frequency. A cursory query of spectral lines within 0.01 GHz of the peak yields the following possibilities (and others): sulfur dioxide, ethyl cyanide, a few methyl formate lines... among many others. Comment from Adam: it's a methanol maser! Neat.",https://docs.google.com/document/d/1cFeEVFZEIYYD8rQ2JMrkr7sTvo3fu4ldUO3EPdM8X_g/edit#heading=h.4cm3bpm7w124
#data31,146_spw51,,CS,3-2,146.904904 to 146.929319,,Lots of individual circular regions popping in and out of emission.,
#data31,146_spw51,,,,146.929319 to 146.989867,,"Widespread, structured, bright emission. Possibly methyl cyanide J = 8 ladder, but peaks are too spread out in frequency.",
data31,146_spw51,,,,147.129031 to 147.180791,,"Some structured emission, and source in center of field gets very bright, then dims again.",
data31,127_spw65,max,,,,,"no lines found, but the scale is very high (0 to 3 K)?",
data31,127_spw65,mean,,,,,"no lines found, but the scale is very low (0 to 0.0004 K)?",
data31,129_spw67,max,HC3Nv=0,J=14-13,127.36766,17.15313852,,
data31,129_spw67,mean,HC3Nv=0,J=14-13,127.36766,37.95764845,,
data31,129_spw67,mean,HOCO+,"6(0,6)-5(0,5)",128.295063,39.64135852,,
data31,130_spw105,max,SiOv=1,3-2,129.36324,16.10026198,,
data31,130_spw105,max,SiOv=0,3-2,130.26861,69.23794481,,
data31,130_spw105,mean,SO3&Sigma;v=0,3(3)-2(2),129.138923,39.50593854,,
data31,130_spw105,mean,SiOv=0,3-2,130.26861,69.27753931,,
data31,132_spw107,max,SiOv=0,3-2,130.26861,69.49873312,,
data31,132_spw107,max,HNCOv=0,"6(0,6)-5(0,5),F=5-5",131.884891,67.52457072,,
data31,132_spw107,max,AlFv=0,"J=4-3,F=3/2-1/2",131.897973,51.90493411,,
data31,132_spw107,mean,SiOv=0,3-2,130.26861,68.8341099,,
data31,132_spw107,mean,HNCOv=0,"6(0,6)-5(0,5),F=5-5",131.884891,66.28982564,,
data31,132_spw107,mean,AlFv=0,"J=4-3,F=3/2-1/2",131.897973,66.10320212,,
data31,134_spw45,max,HNCOv=0,"6(0,6)-5(0,5),F=5-5",131.884891,11.97460428,,
data31,134_spw45,max,AlFv=0,"J=4-3,F=3/2-1/2",131.897973,41.70764865,,
data31,134_spw45,max,CH3OHvt=0-2,"6(-1,6)-5(0,5)",132.8908,19.72682701,,
data31,134_spw45,mean,HNCOv=0,"6(0,6)-5(0,5),F=5-5",131.884891,10.49251206,,
