Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Velocity (km/s),Comment
data_31,139_spw71,mean,CH3OCH3,"9(3,6)-9(2,7)AE",139.500402,74.0941246,
data_31,140_spw109,max,NaCNNaNC,"9(5,5)-8(5,4)",140.484239,23.83406129,
data_31,140_spw109,max,UnidentifiedTransition,U-140486,140.486,27.59167804,
data_31,140_spw109,max,25MgNC,12-11,140.5041,66.20794675,
data_31,140_spw109,max,l-C5H,"J=59/2-57/2,&Omega;=1/2,l=e",140.82464,36.82911045,
data_31,140_spw109,max,H2CO,"2(1,2)-1(1,1)",140.83952,68.49894117,
data_31,140_spw109,max,13CH3OHvt=0,"3(0,3)-2(0,2)E",141.595449,4.304405214,
data_31,140_spw109,mean,NaCNNaNC,"9(5,5)-8(5,4)",140.484239,23.83406129,
data_31,140_spw109,mean,UnidentifiedTransition,U-140486,140.486,27.59167804,
data_31,140_spw109,mean,25MgNC,12-11,140.5041,66.20794675,
data_31,140_spw109,mean,l-C5H,"J=59/2-57/2,&Omega;=1/2,l=e",140.82464,41.10828599,
data_31,140_spw109,mean,H2CO,"2(1,2)-1(1,1)",140.83952,72.77766461,
data_31,140_spw109,mean,13CH3OHvt=0,"3(0,3)-2(0,2)E",141.595449,9.468161156,
data_31,140_spw109,mean,l-C3Hv=0,"J=13/2-11/2,&Omega;=1/2,F=7-6,l=e",141.635793,65.30686887,
data_31,140_spw109,mean,t-CH3CH2OH,"9(0,9)-8(1,8)",142.285054,12.17627697,
data_31,140_spw109,mean,l-C4H2,"16(1,16)-15(1,15)",142.297599,38.60499862,
data_31,142_spw111,max,CH3OCHOv=0,"18(3,16)-18(2,17)A",143.850434,6.677460307,
data_31,142_spw111,max,CH3OHvt=0-2,"3(1,3)-2(1,2)++",143.865795,38.68652386,
data_31,142_spw111,max,C4Hv7=1,"J=31/2-29/2,&Omega;=3/2,l=f",143.87,47.44765967,
data_31,142_spw111,max,t-H13COOH,"7(3,4)-8(2,7)",143.8793266,66.87784383,
data_31,142_spw111,mean,CH3OCHOv=0,"18(3,16)-18(2,17)A",143.850434,5.931190204,
data_31,142_spw111,mean,CH3OHvt=0-2,"3(1,3)-2(1,2)++",143.865795,37.94033344,
data_31,142_spw111,mean,C4Hv7=1,"J=31/2-29/2,&Omega;=3/2,l=f",143.87,46.70149106,
data_31,142_spw111,mean,t-H13COOH,"7(3,4)-8(2,7)",143.8793266,66.13172359,
data_31,144_spw49,max,t-H13COOH,"7(3,4)-8(2,7)",143.88012,1.447441557,
data_31,144_spw49,max,CH3OHvt=0-2,"3(-1,2)-2(-1,1)Evt=2",144.58391,8.851731499,
data_31,144_spw49,max,C34Sv=0,3-2,144.617101,41.12992437,
data_31,144_spw49,max,DCNv=0,J=2-1,144.827996,41.23066205,
data_31,144_spw49,max,HC3Nv7=1,"J=16-15,l=1f",145.127639,65.39923996,
data_31,144_spw49,max,Si13CC,"6(1,5)-5(1,4)",145.1366584,29.17721091,
data_31,144_spw49,max,HC3Nv=0,J=16-15,145.560951,18.8441572,
data_31,144_spw49,max,C6H,"J=105/2-103/2,&Omega;=3/2,l=f",145.594232,52.76781589,
data_31,144_spw49,max,H2CO,"2(0,2)-1(0,1)",145.602956,70.72712887,
data_31,144_spw49,mean,C34Sv=0,3-2,144.617101,30.37269119,
data_31,144_spw49,mean,NaCNNaNC,"9(1,8)-8(1,7)",145.075526,24.08032179,
data_31,144_spw49,mean,UnidentifiedTransition,U-145075.9,145.0759,24.85311295,
data_31,144_spw49,mean,c-HCCCHv=0,"3(1,2)-2(2,1)",145.0895946,53.14733662,
data_31,144_spw49,mean,CH3OHvt=0-2,"3(0,3)-2(0,2)",145.09376,61.75235261,
data_31,144_spw49,mean,HC3Nv7=1,"J=16-15,l=1f",145.127639,67.21130112,
data_31,144_spw49,mean,HC3Nv=0,J=16-15,145.560951,38.3483804,
data_31,144_spw49,mean,C6H,"J=105/2-103/2,&Omega;=3/2,l=f",145.594232,18.28976513,
data_31,144_spw49,mean,H2CO,"2(0,2)-1(0,1)",145.602956,36.25114391,
data_31,146_spw51,max,C3N-,15-14,145.539368,17.24658019,
data_31,146_spw51,max,HC3Nv=0,J=16-15,145.560951,61.69564667,
data_31,146_spw51,max,C6H,"J=105/2-103/2,&Omega;=3/2,l=f",145.594232,2.334659008,
data_31,146_spw51,max,H2CO,"2(0,2)-1(0,1)",145.602956,20.29699376,
data_31,146_spw51,max,OCSv=0,12-11,145.946812,16.93582672,
data_31,146_spw51,max,CH313CH2CN,"17(1,17)-16(1,16)",145.974499,73.79428446,
data_31,146_spw51,max,CH3OHvt=0-2,"3(1,2)-2(1,1)--",146.368342,37.60554804,
data_31,146_spw51,max,UnidentifiedTransition,U-146372.4,146.3724,45.91589337,
data_31,146_spw51,max,SO2v=0,"4(2,2)-4(1,3)",146.605511,17.19165816,
data_31,146_spw51,max,CSv=0,3-2,146.969029,6.777373355,
data_31,146_spw51,max,CH3OCHOv=0,"12(3,10)-11(3,9)A",146.988082,45.6364189,
data_31,146_spw51,max,CH313CN,8(3)-7(3),147.076389,10.99682983,
data_31,146_spw51,mean,H2CO,"2(0,2)-1(0,1)",145.602956,6.89625382,
data_31,146_spw51,mean,OCSv=0,12-11,145.946812,39.00222433,
data_31,146_spw51,mean,CH313CH2CN,"17(1,17)-16(1,16)",145.974499,65.40353954,
data_31,146_spw51,mean,CH3OHvt=0-2,"3(1,2)-2(1,1)--",146.368342,23.47930278,Methanol maser
data_31,146_spw51,mean,UnidentifiedTransition,U-146372.4,146.3724,31.79003975,
data_31,146_spw51,mean,SO2v=0,"4(2,2)-4(1,3)",146.605511,16.59314512,
data_31,146_spw51,mean,CSv=0,3-2,146.969029,14.56059717,
data_31,146_spw51,mean,CH3OCHOv=0,"12(3,10)-11(3,9)A",146.988082,53.41863383,
data_31,147_spw89,max,,,,,"No lines detected, but scale is high"
data_31,147_spw89,mean,CH3CNv8=1,"8(7)-7(7),F=9-8,l=-1",147.432101,21.50195879,
data_31,149_spw91,max,CH3OCH3,"22(2,21)-21(3,18)EE",150.466828,7.945784789,
data_31,149_spw91,max,H2CO,"2(1,1)-1(1,0)",150.498342,70.71995886,
data_31,149_spw91,max,c-HCCCHv=0,"4(0,4)-3(1,3)",150.820665,40.76064935,
data_31,149_spw91,mean,c-HCCCHv=0,"2(2,0)-1(1,1)",150.4365448,41.431215,
data_31,149_spw91,mean,NO,J=3/2-1/2F=3/2-3/2&Omega;=1/2-,150.439096,46.51450013,
data_31,149_spw91,mean,CH3OCHOv=0,"12(6,6)-12(5,7)E",150.449345,66.93397205,
data_31,149_spw91,mean,CH3OCH3,"22(2,21)-21(3,18)EE",150.466828,9.393785183,
data_31,149_spw91,mean,H2CO,"2(1,1)-1(1,0)",150.498342,72.16765604,
data_31,142_spw27,max,c-HCCCHv=0,"4(0,4)-3(1,3)",150.820665,41.02782763,
data_31,142_spw27,max,CH3OHvt=0-2,"12(-1,12)-11(-2,10)",150.884597,74.84895221,
data_31,142_spw27,mean,c-HCCCHv=0,"4(0,4)-3(1,3)",150.820665,40.97849335,
data_31,152_spw31,max,CH3CH2CNv=0,"17(13,*)-16(13,*)",152.405419,19.88369556,
data_31,152_spw31,max,CH3OCHOv=0,"17(2,16)-17(1,17)A",152.598246,20.10824113,
data_31,152_spw31,max,DNC,2-1,152.609774,42.75276486,
data_31,152_spw31,max,UnidentifiedTransition,U-152621.5,152.6215,65.78271178,
data_31,152_spw31,max,CH3CCHv=0,9(3)-8(3),153.7907688,41.70559216,
data_31,152_spw31,max,HCCN,"N=7-6,J=7-6",153.804018,67.52713909,
data_31,152_spw31,max,HNCOv=0,"7(2,6)-6(2,5)",153.818869,67.43873783,
data_31,152_spw31,max,"CH3CHOv=0,1&2","8(2,7)-7(2,6)A--",153.872687,37.88072179,
data_31,152_spw31,mean,HCCN,"N=7-6,J=7-6",153.804018,21.84178823,
data_31,152_spw31,mean,CH3CCHv=0,9(2)-8(2),153.8054575,24.6474091,
data_31,152_spw31,mean,UnidentifiedTransition,U-153816,153.816,45.19340005,
data_31,152_spw31,mean,HNCOv=0,"7(2,6)-6(2,5)",153.818869,50.78422845,
data_31,152_spw31,mean,C4Hv7=22,"J=33/2-31/2,&Omega;=5/2",153.84157,61.01745489,
data_31,152_spw31,mean,"CH3CHOv=0,1&2","8(2,7)-7(2,6)A--",153.872687,53.39438446,
